CST3 CTSD
IGF2R RAB6A
BRAF FAM114A2
BUB1 DYNC1LI1
RPL12 RPL18
LRRC7 RAP2C
MS4A2 PEDS1-UBE2V1
RPS3A RPS25
FBXL3 FBXO2
SLC25A17 GDAP1
DVL2 UBC
PSMB9 USP47
PRKAB1 PRKAB2
GCLC CHAC2
HLA-DRB4 TRIM48
UBE2D2 FBXL15
NELFA 728929
PGM1 PTPN6
CD14 HSPA1B
SRSF1 SF3B1
RPL3 RPL21
ALCAM NCAN
ZNF12 ZNF548
ZNF606 ZNF600
ZNF212 ZNF624
MRPS2 MRPS11
GHDC SVIP
RAP1A VWF
ATM BAG5
POLR2B SEC13
RPS12 RPL36
FGG MARK3
NDUFS1 SDHB
SSTR5 HRH4
CD200 COLEC12
CD4 PSMB1
OR6P1 OR2B3
GNB3 MCHR1
ACTR2 SLC15A4
HEBP2 STING1
HLA-DPA1 TRIM26
GNAS GNG12
SQLE SREBF2
PXN TPM4
TUBA4A INTU
UCHL1 UCHL3
SLC18A3 SLC5A7
PIK3CD PTPN11
PSMB10 H2BC11
APOB SOAT2
CBL DVL2
CD3D PAK1
MANF TMX3
ARHGAP8 PLEKHG2
MIF TICAM2
PSMB8 FKBP8
IRF7 OASL
CARMIL1 JMJD1C
SDC4 LRP12
EIF4G1 PSMB11
PTAFR SNAP25
DSN1 CENPP
PSMB1 PSME2
EXOSC9 DCAF13
OR13C3 OR1L8
H2BC8 H2BC10
BRF1 GTF3C2
CALM2 PPP3CA
CSF2RB FGF5
KLRF1 ULBP3
PSMB9 PSMD6
MC5R GHRL
PSMB8 CUL2
BARD1 H2BC10
RPL36A RPS20
MPO PSMD3
ANPEP PSMD13
KRT74 KRTAP11-1
RPL5 RPS23
ITSN1 LDLRAP1
DYNC1I2 SEH1L
H2AC13 H2AC20
TMSB4X APOOL
NDC80 MIS12
KRT14 LCE2A
RPL32 RPS3A
DNM2 SH3GL2
PSMA3 PSMB2
CSTB RAB3D
ACTB INO80
HES1 WWTR1
MUC4 MUC17
H2BC1 USP17L21
KRT16 SPRR2D
CYP2A13 CYP2C9
ARHGAP10 RHOV
CHMP2A LAMTOR2
ACTB TUBB2B
BCL2L1 FCER2
PPARA MED1
HIF1A KLHL21
PSMC2 UBE3B
SRP14 TMEM179B
ERBB3 KRAS
NTHL1 H2BC15
COL1A1 ULBP3
FCGR1A ICAM2
RPL23A RPL26
ORC2 ORC3
OXT CCL23
BTC EGFR
NAPG TUBA3D
TRAPPC4 RAB3IP
H3C4 H3C6
FANCD2 FANCF
FOLR1 YKT6
KIR2DS1 LILRB5
TERF2 H4C15
EXOSC9 RPS4X
PWP2 RPL10
NAPA VAMP3
PSMD5 RNF144B
RPL37A 956527
GPR4 NMUR2
NELFE 100506888
OXER1 TAS2R39
GTF3A GTF3C2
H2BC13 H4C14
EIF4E CNOT4
ACSL1 TIAM2
E2F2 SRC
UBC BTRC
NDUFB3 NDUFC2
SUMO3 NUP210
PSMD1 UBB
SLC29A2 SLC29A4
BIRC5 PSMD14
JAK2 CCL22
NADK NMNAT3
CCR6 CXCL11
UBB APH1B
CCNC ZNF141
CHUK FCER1A
ZNF354C ZNF302
H2AC13 H3C11
POLR2L PRCC
UBA7 UBE2E1
APLP2 HSP90B1
RAB35 TRAPPC4
APOB APOE
DVL1 ZWINT
H4C8 H2BU1
COL1A1 ITGAL
