SYK WAS
RPS4Y1 RPS4Y2
PDGFRB NRG2
CUL5 NEURL2
TLR1 SEC61A2
GATA6 JMJD1C
HK3 MIF
TMED9 DCTN5
BOP1 NOL6
TUBB4A TUBA1C
OR8H2 OR10G4
MCF2L ARHGEF12
ALDOA ITGAL
RPL23 DHX37
RPS8 UBA52
APP LAMB2
H2BC14 TINF2
CHN2 ARHGAP11A
DCUN1D5 ASB18
TF PICALM
RAC2 ARHGAP11B
PSMB3 PSMC1
SESN1 ATP6V0E2
FGA TLN1
RTP2 OR10V1
MED1 RORA
FUCA1 PSAP
GRB2 MAPK3
CYB5R3 HMGB1
H4C11 KAT5
PSMD9 AURKA
ARSB LGALS3
EFEMP2 FBN3
NFS1 GPHN
H2AC8 RBBP4
NUP98 NUP214
H4C9 H3C1
CXCR2 RGS12
H3-4 H2BC21
CCR6 ACKR3
FPR2 TAS2R43
GLB1 RAP1A
ADRA2C GNB4
PRPF4 PRPF40A
PSMB7 PSMC3
PRKAB2 RFC3
RPS15 RPS19
UBE2I CDCA8
BTC DNM1
KRT83 KRTAP19-7
PTPN11 AGO1
H2BC5 H2BC12
POLR2H POLR2J
WRN XRCC2
H2AC20 H2AC19
PSME1 PSMB11
UBA5 PSMB11
RNF4 H4C14
HERC6 UNKL
NEURL2 ASB3
MAPKAPK3 MAPKAPK2
OR52E8 OR4D9
SOCS2 FBXL12
PSMB4 PSMC5
AGT TAS2R3
FUCA2 RAB37
H2AC14 H2AC19
MRPL4 MRPS15
OR1J2 OR6C76
KRT6A CASP14
PSMD8 CUL2
PSMA5 RAD21
CSNK1D RAI1
ELOB APOBEC3G
RRH OPN1MW2
AZU1 SERPINB10
H2AX H2AZ1
GLA MOSPD2
GNAS ITPR1
EIF4E EIF4G1
ZNF75A MED17
H2AC4 H4C2
SERPINB3 CAB39
GLB1 RAP2C
OR1A1 OR2G3
RPL12 UTP6
TUBB1 GJD4
ZNF431 ZNF721
H2AC18 SYCE2
ACTB RAD51C
F13A1 LHFPL2
GNS CHMP2A
CCNH ZNF830
MRPS22 MRPL9
EIF4E RPL3L
PSMD11 ASB4
EGF SH3GL2
H2BC13 H4C1
KRTAP17-1 KRTAP13-2
POLA1 RFC5
RPL18A RPS14
GRM8 CXCL8
TAF12 H2AC1
GTF2F2 POLR2I
OR2V2 OR51Q1
PSMD4 H2BC8
POLR2F H3C7
MNAT1 NELFE
PSMD9 PSME2
ZNF34 ZNF707
H2BC14 H2BC4
CDC27 BTBD6
CDC27 PSMB1
CXCR2 MNDA
OR51Q1 OR4N2
MTOR TXNRD1
ADAM10 NUCB1
RPS2 RPS28
MT-CO3 CYCS
OR7C2 OR10G9
RPL27A RPLP0
UBB PSMA8
MAGED1 ARHGEF18
PSMD3 SKP1
RAB5B VAMP3
RPS27A UBE2D1
PRELP B4GALT5
NPBWR2 PROK2
CD58 JUP
GTF2H2 SUPT4H1
OR1C1 OR2V2
CEP152 HAUS7
RPS5 RPS4Y2
GRIN2B KALRN
KIFC1 TUBA3D
DDX21 
REEP5 OR2T33
OR2G2 OR52K1
PSMD10 BECN1
TUBA3C NUP160
AP2A2 NME1-NME2
GPR132 NPFFR1
RPS27A H2BC14
H2AC18 H2BC17
FABP5 GRN
ZNF557 ZKSCAN3
MDM4 RUVBL1
FBXW5 UBE2F
AHSG SERPINA1
RPL4 RPLP0
PSMC4 H2BC8
GUCY2D PRKCQ
UFL1 ANAPC5
GNB2 PIK3R3
UBE2N BTRC
GRK3 GNB1
ADCY2 GNAI3
POLE POLE2
MRPL33 MRPL27
RPL3L RPS3A
PSMB6 PSMF1
ZNF559 ZNF565
AHCTF1 KIF18A
H2BC11 NUP93
ADCY1 
ERCC4 RFC3
LGMN TUBB2B
AP2B1 HLA-DMB
GNGT2 KCNS3
RPL36A RPS21
PSMC5 CCDC22
H3C4 H3C7
COX7C G6PD
H2AJ H2BC12
ATP5F1B OTC
DDX49 RPL39L
KRTAP3-2 KRT71
GALNS NEU1
GPR27 NPS
DSC2 LIPN
GNA12 ARHGEF1
SUMO2 ABRAXAS1
RNF14 FBXL8
MAP3K11 CNKSR2
PSMD8 UBE2V1
PLA2G2A 3644711
PPIH RNPS1
ALB SLCO1B3
NUP205 PHAX
CYP7A1 NCOA1
CTSC HGSNAT
AP2B1 TF
OR8D2 OR6C65
BDKRB1 NPY2R
POLG2 CRTC2
PSMB2 TUBB4A
POLR2K POLR3G
MDM4 H2AC17
CALM2 RAPGEF2
RPS27A EIF4A3
OR13C5 OR52N4
PSMB7 PSMD5
ILF2 PA2G4
NUP155 NUP58
GRK3 AGTR1
OR5H2 OR4D6
NFE2 H4C8
FBXW4 FBXL14
NUP188 NUP37
H2AC18 H2BC8
H2BC4 MBD3
ZNF682 ZNF546
ZNF706 ZNF248
LRSAM1 ASB14
ZNF26 ZNF223
RPS18 RPS29
PRSS23 SHISA5
ITGAL CD96
RHOBTB2 ARHGAP45
PSMC2 PSMC3
PSMB6 CENPO
GNG11 F2RL3
UBC ANAPC2
OR5B17 OR10V1
CEP57 HAUS4
ACP3 PAFAH1B2
UBE3A FBXL14
PSMD7 USP10
ME1 SLC16A1
RPL6 UTP25
PCBP2 TNFAIP3
CDKN2C H4C9
CD247 
TUFM MRPL42
APEH AP1M1
OR1A1 OR51V1
MRPS12 MRPS25
CKAP5 CEP41
CSF2RA NRG1
RPL4 RPL22L1
OR1M1 OR6B3
PSMB5 PSMC5
H2BC5 PSMB10
POLR1H H2AZ2
RPA2 UBB
RPSA RPS15A
OLFM4 SLC15A4
GNAL OR5M8
RNPS1 UPF3A
DNAJC3 STC2
STX18 RAB1B
KMT2A H4C14
MDM4 PHF20
TRIP12 HECTD2
CALR HLA-E
H2BC5 H2AC6
ZFP14 ZNF716
H2AJ ITCH
TRIM37 SOCS1
KRTAP5-5 KRTAP5-2
LAMP2 ENDOD1
HDAC1 GATAD2B
ZNF223 ZSCAN25
HES1 WWC1
LAMB2 ENAM
H2BC11 NUP58
MFGE8 PENK
TOMM20 TIMM17B
P2RY6 TACR3
PSMB10 PSME2
BCL2 H2BC13
GNB2 GNG13
KRT15 KRT40
MRPL33 MRPL46
CEP41 TPTEP2-CSNK1E
NUP50 NUP85
POU2F1 FSCN1
PSMA6 PSMD14
CDC20 UBC
OR3A1 OR51I1
CXCR2 ACTR1B
YWHAE NUP155
PRKAG1 CHEK2
LRRC41 FBXL16
RGS10 P2RY12
NINL HAUS7
H3-3B H3C3
ALDH3B1 QPCT
POLR2H POLR1F
NBN H2BC7
ERCC3 POLR2H
RPL21 RPS17
DEFA1 PPIA
CD53 DYNC1LI1
PSMD12 SPSB1
PTPRD IL1RAPL2
MNDA GGH
EIF4E NUP37
VAMP2 EPN2
MMP8 CEACAM6
FGFR3 FGFR4
MC3R NMUR1
SLC2A5 RETN
POLR2I NELFCD
FBXW7 ANAPC1
FADD CFLAR
UBB SEM1
PHC2 XPC
MRPL15 MRPL34
H2BC15 H2BC14
STAM2 GAPVD1
H2AC14 USP34
IMPDH1 CAP1
OR51I2 OR2G6
TRAPPC2 RAB3IP
PSMC6 COP1
PGD RPEL1
XPC COPS2
H3C10 PRMT6
MRPL34 MRPL53
ZNF155 ZNF624
FOS H2BC13
COL7A1 ITGA1
EGFR ARPC2
TRAPPC10 RAB31
SRPRA KDELR3
MED24 ZNF649
CENPA CENPT
H2AC8 H2AC4
ARSB ARSG
ITGAX LTF
PSMA2 PSMD11
CENPA MAPRE1
CDK6 CDKN2D
PKP1 STK11IP
EIF1AX EIF3M
DYNLL1 HAUS3
JAK1 NRTN
SSU72 ELL3
HSP90AA1 PTGES3
RPL34 FCF1
CDH1 COL5A3
AP2M1 HLA-DOA
TEX10 ERI1
PIK3CA PIK3R1
PSMD11 USP17L27
ARHGEF40 ARHGEF37
OR4F16 OR4D5
ZNF212 ZNF324
HNRNPUL1 CCAR1
HSPA2 H2AC14
GATAD2A H3C14
IRAG2 PSMC2
HSP90B1 ENAM
TTN VEGFA
UNG H2BC1
PSMA4 PSMF1
SRSF3 RBM5
HERC5 UBE2Q2
DYNC1H1 UBC
ERCC3 GTF2H5
MAPK11 KHSRP
POLE POLD3
PYGB LRRC7
RPL41 RPL36A
TUBB3 TUBAL3
HRC TGOLN2
SHB ABI2
ESR1 OTUD3
HEXB TUBB
CD47 MOSPD2
OR1D2 OR1L8
OR2W1 OR2J1
FRK PGAM1
GATA1 AKAP10
H2AC6 H4C14
PSMB3 UBE3A
APP FPR2
OR51A7 OR5B2
FGF5 KRAS
PCM1 TUBA4A
PSME4 CDT1
GTF2H4 H2AC8
PSMA7 OBSL1
TIMP2 UNC13D
RBCK1 HECTD1
BUB1 TUBA3C
CAMK2D GBP1
FUCA1 RAB18
CTSC CNIH2
IKBKB FBXW11
ITGB2 SPN
GNAI1 RXFP1
ARHGEF10L FGD2
HDAC3 AGO2
NCBP1 POLR2B
RGL1 TGS1
MRPS17 MRPL11
PSMD9 DYNLL2
ILF2 SERPINB12
GTF2F1 RPAP2
ZNF337 ZNF544
SRSF5 PABPN1
GPC4 CSPG5
H3-3A H4C4
RPL26 RPS26
FN1 KRAS
CYP2D6 CYP3A4
OR13A1 OR2T8
AREG IGF2R
VWF IQGAP1
BRPF1 MCRS1
AKT2 CALM3
GRK2 PRKCG
H2AC4 HDAC3
NDUFAB1 PDHA1
ARHGDIB FGD2
ZBTB16 CUL1
CBL DNM2
H3C1 H2AB1
H2AZ1 H2AB1
PSMA4 PSMD3
OR11A1 OR51E1
CENPT SPC24
MMP1 MMP9
BUB1B B9D2
ATP2A2 ATP2A3
PSMD14 ADRM1
OR6C74 OR8D4
PSMC4 PSMC6
HPSE CLEC5A
FOXA1 H2BC17
ZNF764 ZNF681
KLHL41 FBXL8
RPA1 RPA3
NCOR1 NEURL1B
RBBP7 H3C2
CENPF CENPO
KIF2C CLASP2
OR2A14 OR4N2
BARD1 BLM
PSMD11 TUBA8
ACTG1 DYNC1I2
FOXO1 HMOX1
NBN H2BC7
GNG10 UTS2B
MMP9 PTAFR
OR56B4 OR5W2
ATP6V1B1 ATP6V0E2
RBM28 NOL9
H2BC17 H3C15
MED1 PEX11A
NUP88 NUP93
ATM RFC2
PPP2R5D BRAP
SPTBN1 DCTN5
H2BC5 PSMA1
PSMD2 PELI3
RPS27A HAUS1
SKP1 NOD1
PSME2 BTRC
ACTR1A SEC24B
SRSF5 DHX38
KRT33B FURIN
GATA3 OPRD1
NDUFA6 COX18
PRPF19 ISY1-RAB43
H2BC4 H4C11
HIF1A PSMC6
RPS27A EIF3A
PSMD2 RAB6A
MDC1 100506888
FPR2 PRCP
COL5A3 COL18A1
HSPB1 PSMC3
PIK3C2A AAK1
PSMB4 PSMB6
RAB9B SIRPA
PUS1 TRMT10A
NR1H2 CLOCK
TUBB3 PMF1-BGLAP
CHEK1 PSMB1
PDE4C PDE10A
GLE1 U2AF1L5
CDK2 H2BC14
H2AC8 KDM6A
BPIFA1 PGLYRP2
RAB18 RAB7B
PSME1 UBC
COL5A1 CTSK
H4C6 H3C15
PPP1CC SEH1L
FGF6 FGF17
ZNF100 ZNF547
PSMC6 ASB13
H2BC3 H4-16
AGTR2 NPY5R
PSAP LEFTY2
RPS5 RPS20
RPL38 RPS27
ETFA COX18
CHIT1 HPSE
ITPR1 DGKH
DCTN4 CAPZA3
NDUFA13 NDUFS7
OR2B2 OR5P2
SNX9 ACBD3
BRCA1 RAD50
POLR2H DDX46
RNASE2 PDXK
SUPT5H NELFE
RPS14 UTP14C
OR6C76 OR2A2
ZIM2 ZNF750
PPP2R5B PSMB6
TTF1 POLR1G
H2AC7 SMARCA5
C3 GALR2
TUBG2 HAUS3
LIPJ KRT79
SNAPC4 POLR3B
CD74 SPTBN2
PPP2R5D PPP3R1
ST14 LCE2D
HSF1 HSP90AA1
EIF4E RPS25
KRTAP2-1 KRT6C
ENPP4 DYNC1LI1
H2BC13 H4C8
STBD1 CRISPLD2
ZBTB16 UBAC1
TUBA4A AGTPBP1
POLR2A TAF3
KAT2A HEY1
H2AC20 H4C13
RAC1 SH2B2
EP300 GFI1
TAF9 H4C1
OR6K6 OR2L8
OR13C3 OR10A2
PLCG2 SYK
MET LAT
EIF4A1 RPS3
ZNF696 ZNF573
CEACAM1 PLAU
TPP2 UBE2D3
RAB27B DENND4A
GNB1 OR2B2
A1BG ELANE
HSP90AA1 HAUS7
RBBP7 SUZ12
COX8A AGO1
TOP1 NUP50
MRPL47 MRPS34
CCNE2 PSMD6
NCBP1 YBX1
GNG5 GNG2
CDK6 PTPN11
TUBB2A IFT46
RPS27A H2BC9
PSMA3 RPL10
PSMC6 NUP107
CDKN2D TFDP1
G6PC1 MDH1
ACTB MYO5A
ADORA2B GPR32
BLM RMI1
H2AC8 H2BC11
OR51L1 OR52E4
PGM1 LAMTOR1
F2R QRFPR
GNAI1 GNB4
ZNF112 ZNF675
TXLNA IFNL1
MKS1 HAUS1
PSMD11 PSMD14
PSMD3 PSME2
GRM5 QRFPR
UBA52 PSMD6
PSMB1 PSMC4
AURKA CEP63
NCOR1 UGT1A3
PSMA6 PSMD10
CXCR6 RGS17
PVALB TNRC6B
RPS2 H2AC16
CENPJ CEP76
RPL19 RPL24
SYT11 UBQLN1
GPR65 P2RY10
MT-ND2 MT-ND5
PSMC5 MAP3K7
ALOX15 CYP4B1
NCSTN RAB4B
KIF3B TUBB4A
SSNA1 HAUS1
OR52Z1 OR2A7
DAG1 RPL36AL
RPL27A UBA52
TUSC3 MMGT1
MRPS31 MRPS6
CHMP4A RRAGC
AVP GLP1R
FBXO41 KCTD6
H2BC5 H2AB1
CCNT1 POLR2B
OR13C4 OR9I1
PSMB8 UBC
HBEGF NRAS
H2BC4 H4C14
OR6K2 OR56A5
STAG1 DYNLL2
H1-5 HIRA
AR PGR
HMGB1 CCT2
ST6GAL1 ST6GAL2
EP300 NCOA1
FADS1 MED26
SRC RGS19
RPL18A RPS15
PSMB7 ROBO2
PSMD2 TUBA3C
GIP RLN3
PPP2R1A AURKB
CXCL3 TAS2R4
KLRC2 RAC1
H2AZ1 H3C6
H3C11 H4C1
IL2RA FGF23
GRN SIRPB1
GDI2 NCKAP1L
CDK7 POLR2J
RPS27A RAD9B
GNS AP4B1
KRT6B KRTAP4-8
CD226 CRTAM
RPS9 RPS11
AVP CGA
S1PR3 GNAZ
CRHR1 RXFP2
CSNK2B SCMH1
GPR27 RAMP1
SNRPF NUP43
ZNF433 ZNF549
ATP6V1A LAMTOR3
DYNC1I2 CENPO
PIK3R1 STAT5A
GLI3 PSMA1
CEP135 TUBB
ARRB1 NUMB
H2AZ1 H2BC15
CAND1 TICAM2
OR11H4 OR2A25
JAG1 NOTCH1
PSMD4 PSMD11
RPL13 RPL37
ZNF254 ZNF426
H3C8 KDM5B
E2F1 COMMD3-BMI1
OR11H2 OR14C36
CHRNB4 NRAS
EEF2 TIMP2
PSMB10 PSMD13
ITGA2B CLEC3B
UBB PSMD6
NUP85 NUP35
UBE2D3 UBE2E3
CDKN1B E2F4
H3C11 
PRDX4 DPP7
MED24 ZNF415
FBXO11 ASB8
PRG2 PLAC8
H4C9 H2AC20
STK11 RHNO1
PECAM1 THBD
UNKL SPSB2
KLHL20 TRIM69
TCTN3 CC2D2A
H2AX H2BC11
RPL30 RPS16
LAG3 ACTR10
H2BC21 H3C15
OR4F17 OR8U3
PSMC6 H2AC14
MYL3 TMOD4
CCNA2 CCNH
HBB SLPI
AP2M1 AP2S1
RAB8A TRAPPC6A
CDC20 CENPS
ARRB1 CNKSR1
TBP SSU72
PSMD8 CDC16
RPL4 RPLP0
RHOA GRIN2B
HAUS4 CEP290
ZNF510 ZNF557
SGO1 CENPP
GNG3 RGS22
CEP164 HAUS7
AGL DPP7
GM2A TOLLIP
POLRMT PPARGC1A
RBBP5 BCL9L
ADAM10 FBXW7
AP1B1 AP4E1
AURKA CCP110
OR52N1 OR4C11
PSMB1 UBB
CXCR3 PF4
CAMK2D ATP8A2
PSMD11 TRIM69
POLR2E KANK1
AGBL2 TTLL9
ALAD ELANE
FGF6 PIK3R3
LTA4H NIT2
NPY2R GPR37L1
PDE3A GPR45
OR5L2 OR5F1
FYN ITGAV
DDB2 H2AC12
PSMC3 PSMA8
APOB DAB2
PSMA6 UBA52
COL3A1 VWF
ZFP1 ZNF775
RPL7 RPS24
PSMB4 LRSAM1
EIF4G1 RPS3
RAP1B PTGES2
PSMD4 PSME4
KRT1 KRTAP10-2
MYBPC2 TPM2
UBE2M ASB17
SMAD3 KLF4
OR52R1 OR10J3
RPL6 LDB1
PREB TMED10
GNGT1 GNG2
TUBB2A TUBA3E
FCN1 FRMPD3
ZNF18 ZNF264
OR5I1 OR5H1
CD36 PSME1
DDX39B UPF3B
PSMB8 ANAPC15
CDC34 MKRN1
CD3D ITK
CALM1 CLCN2
ERBB4 PIK3CB
RAP1B MPRIP
H2AC15 H2AJ
LAMTOR3 NCSTN
THRAP3 MED10
CACNG2 CACNG8
DYNC1H1 PSMA1
DEFB107A DEFB115
DOCK2 EHD2
H3C12 PADI1
H2AC20 H2BC11
PTPN6 KCMF1
C5AR1 PECAM1
ANAPC5 TUBAL3
PRKAA2 PRKAG1
PSMA6 SMC1A
STAG1 AHCTF1
EIF2S1 RPS4Y1
IGF2R LDLRAP1
PSMB9 PSME3
MRPS34 MRPL57
CUL1 TAB1
PSMC2 FBXO9
AGPS PAOX
USP25 MUL1
PPP2R1A SKP1
RPS27A PELI3
PDE4A PPP3CA
SRSF9 PHF5A
KNG1 MLN
CASP14 RPTN
VASP ENAH
MTRR GSTO1
CD3E CD3G
MTRF1L MRPL47
ZNF217 NCOA3
HP LCN2
CCNT2 GTF2H5
MT1B MT1G
POLR2D H3C14
RRAGB RPTOR
HNRNPC SF3B4
RPL28 UTP14C
CD14 TLR1
GNB5 PLEKHG2
H2AZ1 SYCE2
GNB1 NMUR1
PSMD1 SIAH1
OR5M8 OR2T33
PSMC4 SEM1
H2BC5 TSPAN15
H4C8 TAF1A
H2AX H3C7
GATA1 H2AB1
NDUFB1 NDUFC1
JUP SPINK5
APLNR CX3CL1
PPP2CA CCNA1
MYC PSMA8
PSMB5 UBB
RPS19 RPS28
HDAC2 VPS45
CD86 PRR5
EGFR ERBB2
RPL10 N6AMT1
CAMK2A GNG8
PSMD11 KLHL9
RAB5B RIN1
ZNF700 ZNF764
BDKRB1 CCL27
DOK3 CANT1
ZNF18 MED23
DMP1 TNXB
BAG5 NUP35
KRT10 SPINK9
CALM2 FGA
GSK3B H3C4
NUP98 NUP133
IGF2R STON2
BIN2 TBC1D10C
TACR3 OPN4
OR7A17 OR10A3
TEX101 RAET1L
NDC80 TUBA1C
KRT83 PKP3
ZNF420 ZNF605
DYNC1I2 CENPN
AHSG FERMT3
PSMB1 PSMC5
METTL7A TXNDC5
PSMC6 VCP
S100P CLEC12A
ACTR1A OPTN
H2AC6 H4C15
FBXW7 FBXL14
RING1 STAG2
GYG1 C1orf35
GTF2H1 POLR2K
ZW10 KIF2B
ADAM10 TGOLN2
NR2E1 PHC3
HSP90AA1 YWHAG
PLA2G4C PLBD1
ACTN2 TIMP1
ZNF611 ZNF233
DNM2 SH3GL2
DYNC1H1 HK3
GAA DYNLL1
MAPK3 H4C8
TP53 AGO2
KLHL22 BTBD6
UBE2E1 PSMF1
CTSB SIGLEC9
CLEC2B TREM2
HMGB1 CD93
CAMK2D GPS2
ITCH ASB10
LMO7 ASB18
PAPOLA UPF3B
ZNF157 MED23
PSMD1 CUL1
OR2B11 OR8D4
ZNF350 ZNF704
COPB1 GYG1
KNG1 XK
HOXC4 POLR2D
COL3A1 TGFB1
H2BC9 H3C10
PSMD11 PSME1
GRK3 UBC
SUV39H1 H3C2
PPP1CA PPP1CB
FBXW2 KLHL22
ZNF770 ZNF774
CSTF3 DDX39A
APRT SIRPA
E2F1 CCNE2
COX16 SESN3
MMP1 OPTC
LAMC1 FGF23
UBA52 ABRAXAS1
MS4A3 DYNLT1
DET1 RNF217
DLG1 GRIA1
RPL17 RPL18A
PPP2R5C DYNC1LI1
PSMD3 NOD2
DDIT3 XBP1
H2BC8 H4C6
FBXW2 DDA1
CD14 UNC13D
CLIP1 TUBA3D
POLR2C H2AC18
PRKCD PRTN3
PSMD7 SKP1
CEACAM1 PSMC3
POLE RPS27A
GAB1 FRS2
GSTP1 MAN2B1
RPSA UPF2
PSMA1 FBXW4
EP300 H3C8
FMOD CHST6
OR4D2 OR5M8
RPL38 UPF3A
TAF11 TOP3A
PSMF1 SENP8
H3C6 TAF1B
KRT23 KRTAP10-7
GPR37L1 NTSR2
H2BC8 RAD50
GTF2A1 TAF9
RPS2 RPS24
EDN3 PROK1
ZNF71 ZNF555
OR2T3 OR2A5
CEACAM5 FCGR3B
ELOB DCUN1D5
OR10J5 OR4F15
CSNK1D PREB
CATSPER1 CATSPERD
UTS2R RGS19
CDKN2A KDM6B
GRM5 HRH1
KCNJ11 FXYD6
GTF2A2 GTF2F2
DCAF17 KBTBD8
ZNF20 ZNF443
UBE2D4 FBXL22
UBTF H3C6
MRPL24 MRPL10
OXTR GNA14
OR6B3 OR2T35
IQGAP1 TCIRG1
OR9G4 OR2A12
GNG11 ARHGEF19
PTPRN2 SERPINB12
RBBP8 RMI1
TSR1 100861532
ADCYAP1R1 PTHLH
TP53BP1 H2BC1
TUBG1 SDCCAG8
PABPN1 THOC1
ZNF582 ZNF735
RPS8 RPS4Y2
PSMC1 SEM1
OR7G1 OR6C3
SERPINA1 LMAN2
ADRA1A F2R
PSMD10 CDC16
ERCC1 RPA3
GNB3 FFAR2
DHX15 SNRNP27
AHSG LTBP1
PLAU RAB27A
CCL22 NANOG
PSMD11 SEC61B
H2BC10 H4C3
IBSP COL5A3
XRN2 CCT5
RPS14 NCBP2
PRKACB PSME2
UBE2E1 RNF19A
PLA2G4A PLA2R1
FKBP1B WNK2
GTF2A1 SNAPC5
OR51B4 OR51L1
RHOA HRAS
LCE1D LCE1F
OR8H3 OR2T35
PSMD8 PABPC1
CDC7 EED
GRP PROK2
PRKACA ARTN
GNG11 PRKAR1B
RFC3 H2BC13
RPL22 RPS27L
RXRB MED12
RHOB DYNLL1
ACVRL1 SMAD9
PDGFB PIK3R1
NUP58 UPF3B
H4C9 H2AC6
USP34 IL33
SSNA1 CEP164
ZNF415 ZNF555
MVB12B CHMP4B
C5 CCR3
CHRM3 UTS2B
MRPL11 MRPL1
TLR2 GSDMD
PSMB6 PSMB7
ATP2A1 ATP2B4
EIF4G3 NDC1
SMC1A AHCTF1
CHMP5 155908
PSMA6 ANAPC4
PSMA4 PSMD1
PSMA5 TGFB1
AGA CCT8
EEF2 RPS4X
MRPL49 MRPL21
PSMD8 NDE1
SERPINB1 BIN2
TGFB1 NCOA3
CACNB1 CACNA2D3
CASR TAC3
PRSS3 PADI2
PSMC4 RPL29
DNAJB1 AGO4
FGF6 FLRT2
H2BC7 USP17L8
ESR2 NRG3
H2AC7 JUND
ADCY2 DRD1
POLR2C POLR2I
KIF3A TUBB2B
PSME1 BTRC
CSNK2B GNG12
H4C1 ASH2L
CD1D MADCAM1
RPL30 RPS27A
AGTR2 CCL19
RPS28 SSR1
ADCYAP1 ADORA2A
H2AZ1 H2BC3
FGG CD177
ADCY5 ADCY6
CENPK SGO2
CR1 DYNC1H1
PSMB6 PSMC4
CYLD IKBKG
PPP2R1B AMER1
OR2L5 OR5T2
CCL16 GALR2
MTNR1B RGS21
CAV1 FABP12
DSG1 SLCO4C1
MLLT1 POLR2I
GPR17 MLNR
RAD18 DERL1
PSMD12 FBXW2
RPLP1 RPS4Y1
PNP TMBIM1
KIF3C KIF21B
LAMP1 PTPN6
ECT2 ARAP3
MMP9 ADAM17
CAPZB HBG1
C4B CHRDL1
DNAJC3 PDIA6
DYNLL1 DSN1
TP53BP1 H4C14
ERBB4 PSEN1
NEK2 TUBB
SERPINA3 SNAP29
KLK2 MMP17
ZBTB16 RNF111
H3C12 SAP18
SYNGR1 TBC1D10C
CD40 ITGA4
PSMA6 PSMA8
RPL30 RPS3
ZNF655 ZNF543
RAB2A RAB5C
WDR20 H2BC1
GPR20 TAAR2
C3 PRKCSH
TRAF6 UBB
OR5P2 OR51D1
RPSA RPS25
PARP1 RPA2
OR52J3 OR2M5
PPP2R1B TUBB2B
EIF4E TPR
PSMB5 KBTBD13
KRT85 LCE3E
MAP2K6 H2BC1
OR1B1 OR51I2
BUB1 TAOK1
PSMB8 RPS21
SMAD1 USP17L17
CSF2RA IL5RA
RPL6 RPL22L1
PSMC5 PSMD14
H2AC7 H4C1
RPL6 RPL12
ATP1A3 ATP10A
EGFR FGF6
AP2M1 CTSV
PTPRN2 SLC27A2
NOL11 DIMT1
PLCG1 PRKACA
CENPI NDE1
OR51E1 OR51A2
HNF4G NR2C2AP
NUP93 NUP210
CCNB1 RANGAP1
SLC18A3 VAMP7
H2AC4 H4C4
CD59 MAPK14
PSMC5 PSMD9
UBE2H VHL
POLR2E POLR2K
OTUB1 PSMB11
MED6 ZFP28
PSMB1 SCAMP1
POLR2L POLR1G
H2AX BABAM1
COL16A1 ITGB1
SURF4 TMC6
H2BC3 AEBP2
RPS9 RPS10
HPSE ADGRG3
ZNF75D ZNF668
CHD3 LAMTOR3
H2AC7 KDM1A
RTP4 OR5D18
ZNF140 ZNF681
PSMB9 KBTBD7
LSS GGPS1
ATP2B2 ATP4A
RAB5B RAB4B
RAD21 DYNLL2
RPL11 RPL14
HUWE1 HERC5
SNU13 RPL22L1
FGD1 MAPK8
EIF2S1 RPS3A
GNG11 MC5R
SURF4 KIF13B
IL12A CCL5
H2AC7 H2AC18
ASB1 DCAF11
TIAM1 YES1
CSNK1E WDR36
PSMD13 AURKA
CLDN16 PARD6G
FGF9 PDGFRB
CHI3L1 PKM
H3-3B H4C9
RPL22 RPL35
CSH1 GH2
EEF1A1 PAFAH1B2
RPS24 RPL26L1
PSMD3 FBXO7
H2BC9 H4C14
CKS1B PSMB2
CENPF CENPT
OR4K5 REEP6
FCGR3A IFITM1
ITGAX TGFB3
TRAPPC2 LMAN2L
PSMD9 RBX1
CSTF3 U2AF1L4
COL5A2 LAMB2
H4C12 H2AJ
RPS27A ASB13
PSMD8 PSMD13
PSMD8 RPL32
BST2 KCNAB2
EIF4A1 RPS5
KDM5C KDM2A
BUB1B DYNLL1
PSMD12 S100A8
OR4K15 OR56A4
AGL RAB7A
ITSN1 TRIO
DEFB118 DEFB105A
SMARCA2 SMARCC2
PSEN1 ARL8A
ZSCAN32 ZFP69B
MRPS33 MRPL47
H3-3B H4C8
H2BC7 H4C5
BLMH UBE2Z
ZNF20 ZNF234
PSMB5 PSMD13
PTCH1 TTC21B
RPL22 RPS26
H2BC5 CBX8
GM2A IDH1
SENP3 TEX10
HACE1 FBXL14
H2BC5 H2BC3
KRTAP9-8 KRTAP24-1
PSMC3 CUL1
CR1 DOCK2
PSME1 TLR4
FBXO2 ASB7
OR2L13 OR13G1
PSMC4 PSME3
PPARG SLC27A1
ESR1 FGF4
OR10H3 OR9A4
PYGB STK10
DYNC1I1 CENPS-CORT
IHH DHH
NUP88 NUP62
OR5K1 OR2T4
ORC1 CDC7
GNRHR NTS
OR2T34 OR11L1
OR51B4 OR5T3
RPL39 RPL13A
PQBP1 SF3B3
H3C12 H4C5
ZNF554 ZNF737
H4C12 ACTL6B
PPP2CA CENPN
PRKAA2 CHMP3
VAMP2 SYT2
ARHGEF18 ARHGAP36
CTSB B4GALT1
UBC SEM1
IGF2R GCC1
CCNE1 FBXW10
ZNF681 ZNF485
CAP1 TRAPPC1
OGG1 H2BC10
IHH FZD4
OR4K14 OR11L1
OR4P4 OR5AN1
H2BC15 SYNE1
GABARAPL2 TBC1D17
EIF4G1 RPS13
H3C10 H4C11
MCHR1 GNAT3
OR52N2 OR5D16
RPS5 RPS27L
